isolateID,clus_num,days_elapsed,weeks_elapsed,date,media,genus,family,tmp_res,cc_res,amp_res,cip_res,tet_res,c_res,gm_res,amx_res,nitro_res,azm_res,ctx_res,cl_res,er_res,moyr
bc_250_031618_06,2,414,59.14285714,3/16/18,bc,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,March_2018
bc_250_040518_03,2,434,62,4/5/18,bc,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,April_2018
tcs_092117_11,3,238,34,9/21/17,tcs,Pseudomonas,Pseudomonadaceae,1,-1,-1,1,-1,1,1,-1,-1,-1,0,1,-1,September_2017
bc_500_030218_02,5,400,57.14285714,3/2/18,bc,Pseudomonas,Pseudomonadaceae,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,March_2018
tcs_052517_04,5,119,17,5/25/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,May_2017
tcs_041417_10,7,78,11.14285714,4/14/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,0,-1,April_2017
tcs_092117_07,7,238,34,9/21/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,1,-1,September_2017
tcs_092117_10,8,238,34,9/21/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,0,1,0,-1,-1,1,1,-1,September_2017
tcs_101217_01,9,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,October_2017
tcs_101217_07,9,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,October_2017
tcs_101217_08,9,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,October_2017
tcs_121417_04,9,322,46,12/14/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,December_2017
bc_250_031618_05,10,414,59.14285714,3/16/18,bc,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,1,-1,1,-1,-1,-1,0,-1,-1,March_2018
bc_500_030218_01,10,400,57.14285714,3/2/18,bc,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,-1,-1,March_2018
tcs_030218_05,10,400,57.14285714,3/2/18,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,-1,-1,March_2018
tcs_030218_08,10,400,57.14285714,3/2/18,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,March_2018
tcs_031618_03,10,414,59.14285714,3/16/18,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,March_2018
tcs_031618_05,10,414,59.14285714,3/16/18,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,March_2018
tcs_031618_06,10,414,59.14285714,3/16/18,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,March_2018
bc_500_031618_06,11,414,59.14285714,3/16/18,bc,Pseudomonas,Pseudomonadaceae,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,March_2018
tcs_051017_07,11,104,14.85714286,5/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,1,-1,May_2017
tcs_060917_05,11,134,19.14285714,6/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,-1,June_2017
tcs_110917_10,11,287,41,11/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,November_2017
tcs_021617_07,13,21,3,2/16/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,0,1,1,0,February_2017
tcs_051117_05,13,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,0,May_2017
tcs_052517_11,13,119,17,5/25/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,0,May_2017
tcs_051117_07,14,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,1,0,1,-1,May_2017
tcs_051117_08,14,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,May_2017
tcs_051117_09,14,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,1,0,1,-1,May_2017
tcs_051117_13,14,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,May_2017
tcs_051117_17,14,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,0,1,1,-1,May_2017
tcs_051117_19,14,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,May_2017
tcs_051117_20,14,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,May_2017
tcs_051117_21,14,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,May_2017
tcs_052517_06,14,119,17,5/25/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,1,-1,May_2017
tcs_052517_09,14,119,17,5/25/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,0,1,1,-1,May_2017
tcs_101217_04,14,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,0,-1,1,-1,-1,1,-1,-1,1,1,1,-1,October_2017
tcs_102717_05,14,274,39.14285714,10/27/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,0,1,-1,-1,0,1,1,-1,October_2017
tcs_031017_07,15,43,6.142857143,3/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,March_2017
tcs_031017_11,15,43,6.142857143,3/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,March_2017
tcs_041417_02,15,78,11.14285714,4/14/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,April_2017
tcs_041417_04,15,78,11.14285714,4/14/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,April_2017
tcs_051017_04_1,15,104,14.85714286,5/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,0,-1,-1,1,-1,-1,-1,0,0,-1,May_2017
tcs_051017_05_1,15,104,14.85714286,5/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,May_2017
tcs_051017_08,15,104,14.85714286,5/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,May_2017
tcs_051017_09,15,104,14.85714286,5/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,May_2017
tcs_051017_13,15,104,14.85714286,5/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,May_2017
tcs_051017_18,15,104,14.85714286,5/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,May_2017
tcs_051017_19,15,104,14.85714286,5/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,May_2017
tcs_051117_04,15,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,May_2017
tcs_051117_14,15,105,15,5/11/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,May_2017
tcs_052517_08,15,119,17,5/25/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,May_2017
tcs_052517_10,15,119,17,5/25/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,May_2017
tcs_060917_02,15,134,19.14285714,6/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,June_2017
tcs_060917_07,15,134,19.14285714,6/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,June_2017
tcs_060917_11,15,134,19.14285714,6/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,June_2017
tcs_062317_01,15,148,21.14285714,6/23/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,June_2017
tcs_062317_07,15,148,21.14285714,6/23/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,June_2017
tcs_062317_10,15,148,21.14285714,6/23/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,June_2017
tcs_082417_01,15,210,30,8/24/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,August_2017
tcs_082417_02,15,210,30,8/24/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,August_2017
tcs_092117_02,15,238,34,9/21/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,September_2017
tcs_092117_03,15,238,34,9/21/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,0,-1,September_2017
tcs_092117_04,15,238,34,9/21/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,September_2017
tcs_092117_06,15,238,34,9/21/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,September_2017
tcs_092117_09,15,238,34,9/21/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,September_2017
tcs_092117_14,15,238,34,9/21/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,September_2017
tcs_092117_15,15,238,34,9/21/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,September_2017
tcs_101217_02,15,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,October_2017
tcs_101217_03,15,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,October_2017
tcs_101217_05,15,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,October_2017
tcs_101217_06,15,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,October_2017
tcs_101217_09,15,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,0,-1,October_2017
tcs_101217_11,15,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,October_2017
tcs_101217_12,15,259,37,10/12/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,October_2017
tcs_102717_01,15,274,39.14285714,10/27/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,October_2017
tcs_102717_02,15,274,39.14285714,10/27/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,October_2017
tcs_102717_04,15,274,39.14285714,10/27/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,October_2017
tcs_102717_08,15,274,39.14285714,10/27/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,October_2017
tcs_102717_09,15,274,39.14285714,10/27/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,October_2017
tcs_110917_05,15,287,41,11/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,November_2017
tcs_110917_06,15,287,41,11/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,November_2017
tcs_110917_07,15,287,41,11/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,November_2017
tcs_110917_08,15,287,41,11/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,November_2017
tcs_110917_12,15,287,41,11/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,November_2017
tcs_110917_15,15,287,41,11/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,November_2017
tcs_121417_06,15,322,46,12/14/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,December_2017
tcs_121417_07,15,322,46,12/14/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,December_2017
tcs_121417_09,15,322,46,12/14/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1,-1,December_2017
tcs_020118_11,16,371,53,2/1/18,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,0,-1,0,-1,-1,-1,-1,1,-1,February_2018
tcs_041417_05,16,78,11.14285714,4/14/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,0,-1,1,-1,-1,-1,0,1,-1,April_2017
tcs_060917_03,16,134,19.14285714,6/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,0,-1,1,-1,-1,0,0,1,-1,June_2017
tcs_060917_06,16,134,19.14285714,6/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,0,-1,1,-1,-1,0,-1,1,-1,June_2017
tcs_060917_10,16,134,19.14285714,6/9/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,1,-1,June_2017
tcs_031017_08,17,43,6.142857143,3/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,March_2017
tcs_051017_02,17,104,14.85714286,5/10/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,1,-1,May_2017
tcs_062317_03,17,148,21.14285714,6/23/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,0,1,-1,-1,-1,1,1,-1,June_2017
tcs_062317_04,17,148,21.14285714,6/23/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,0,1,-1,-1,-1,0,1,-1,June_2017
tcs_062317_08,17,148,21.14285714,6/23/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,June_2017
tcs_062317_11,17,148,21.14285714,6/23/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,June_2017
tcs_062317_12,17,148,21.14285714,6/23/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,June_2017
tcs_082417_03,17,210,30,8/24/17,tcs,Pseudomonas,Pseudomonadaceae,-1,-1,-1,1,-1,1,1,-1,-1,-1,0,1,-1,August_2017
tcs_082417_04,17,210,30,8/24/17,tcs,Pseudomonas,Pseudomonadaceae,0,-1,-1,1,-1,1,1,-1,-1,-1,0,1,-1,August_2017
